Room 1,358,327
Room 2,322,309
Shop,355,269
Room 4,291,310
Room 5,290,267
Room 6,258,309
Room 7,230,328
Room 8,202,299
Room 9,202,236
Room 10,253,236
Room 11,290,236
Room 12,327,236
Central Hall,387,236
Room 14,290,204
Room 15,214,168
Room 16,183,181
Room 17,183,160
Room 17A,185,142
Room 18,214,98
Room 19,176,123
Room 20,176,98
Room 21,176,74
Room 22,255,74
Room 23,255,99
Room 24,255,123
Room 25,291,123
Room 26,241,142
Room 27,267,142
Room 28,290,142
Room 29,290,168
Room 30,387,168
Room 31,387,135
Room 32,483,160
Room 33,560,168
Room 34,560,236
Room 35,522,236
Room 36,484,236
Room 37,483,201
Room 38,445,236
Room 39,417,236
Room 40,483,271
Room 41,571,298
Room 42,544,329
Room 43,516,321
Room 44,484,321
Room 45,451,321
Room 46,418,326
Sunley Room,339,204
Room 51,82,225
Room 52,90,257
Room 53,90,280
Room 54,90,304
Room 55,90,329
Room 56,84,351
Room 57,55,338
Room 58,55,304
Room 59,55,270
Room 60,55,225
Room 61,23,225
Room 62,23,225
Room 63,23,284
Room 64,24,309
Room 65,26,327
Room 66,28,346
